Numéro de commande;Date;SKU;Nom;Quantité;
#1273;27-sept.-18;1-0050;Produit 50;1;
#1273;27-sept.-18;1-0053;Produit 53;1;
#1273;27-sept.-18;1-0051;Produit 51;1;
#1273;27-sept.-18;1-0054;Produit 54;2;
#1274;27-sept.-18;1-0061;Produit 61;1;
#1274;27-sept.-18;1-0063;Produit 63;1;
#1274;27-sept.-18;1-0026;Produit 26;2;
#1275;27-sept.-18;1-0050;Produit 50;2;
#1275;27-sept.-18;1-0003;Produit 3;2;
#1275;27-sept.-18;1-0012;Produit 12;4;
#1276;27-sept.-18;1-0053;Produit 53;1;
#1276;27-sept.-18;1-0032;Produit 32;1;
#1276;27-sept.-18;1-0031;Produit 31;1;
#1276;27-sept.-18;1-0061;Produit 61;1;
#1276;27-sept.-18;1-0065;Produit 65;1;
#1277;27-sept.-18;1-0004;Produit 4;1;
#1278;27-sept.-18;1-0040;Produit 40;1;
#1278;27-sept.-18;1-0050;Produit 50;2;
#1279;28-sept.-18;1-0055;Produit 55;2;
#1279;28-sept.-18;1-0053;Produit 53;3;
#1279;28-sept.-18;1-0040;Produit 40;2;
#1280;28-sept.-18;1-0050;Produit 50;3;
#1280;28-sept.-18;1-0046;Produit 46;1;
#1281;28-sept.-18;1-0050;Produit 50;3;
#1282;28-sept.-18;1-0039;Produit 39;1;
#1282;28-sept.-18;1-0040;Produit 40;1;
#1282;28-sept.-18;1-0013;Produit 13;1;
#1282;28-sept.-18;1-0008;Produit 8;1;
#1282;28-sept.-18;1-0009;Produit 9;1;
#1283;28-sept.-18;1-0032;Produit 32;1;
#1283;28-sept.-18;1-0005;Produit 5;1;
#1284;28-sept.-18;1-0065;Produit 65;1;
#1284;28-sept.-18;1-0073;Produit 73;1;
#1284;28-sept.-18;1-0077;Produit 77;1;
#1284;28-sept.-18;1-0089;Produit 89;2;
#1284;28-sept.-18;1-0058;Produit 58;2;
#1284;28-sept.-18;1-0053;Produit 53;1;
#1284;28-sept.-18;1-0055;Produit 55;2;
#1284;28-sept.-18;1-0050;Produit 50;2;
#1284;28-sept.-18;1-0052;Produit 52;2;
#1285;29-sept.-18;1-0075;Produit 75;1;
#1285;29-sept.-18;1-0003;Produit 3;1;
#1285;29-sept.-18;1-0002;Produit 2;1;
#1285;29-sept.-18;1-0050;Produit 50;3;
#1285;29-sept.-18;1-0053;Produit 53;5;
#1286;29-sept.-18;1-0068;Produit 68;1;
#1286;29-sept.-18;1-0051;Produit 51;2;
#1286;29-sept.-18;1-0047;Produit 47;2;
